Athlete,Date,Training_Load,Wellness_Score,Readiness_Score,Jump_Height_cm,Sprint_Time_s,Strength_Score
Rahul,2026-08-03,360,22,82,48,4.72,72
Rahul,2026-08-04,450,21,78,47,4.75,73
Rahul,2026-08-05,300,23,86,50,4.68,74
Rahul,2026-08-06,560,20,70,45,4.81,72
Rahul,2026-08-07,420,22,80,48,4.73,75
Arjun,2026-08-03,490,20,72,46,4.79,76
Arjun,2026-08-04,600,19,65,44,4.84,77
Arjun,2026-08-05,350,22,80,48,4.75,78
Arjun,2026-08-06,650,18,58,42,4.90,76
Arjun,2026-08-07,520,20,68,45,4.82,79
Vikram,2026-08-03,300,23,87,52,4.65,70
Vikram,2026-08-04,400,22,83,51,4.67,71
Vikram,2026-08-05,350,24,91,54,4.60,73
Vikram,2026-08-06,450,22,81,50,4.69,72
Vikram,2026-08-07,500,21,76,49,4.72,74
Priya,2026-08-03,360,22,82,44,5.02,68
Priya,2026-08-04,480,21,75,43,5.06,69
Priya,2026-08-05,300,23,87,46,4.97,71
Priya,2026-08-06,550,20,69,41,5.10,70
Priya,2026-08-07,420,22,79,44,5.01,72
